PERIODO,MES,COD_TIPO_OPERACION,COD_REGION_ORIGEN,COD_VIA_TRANSPORTE,COD_PUERTO_EMBARQUE,COD_PAIS_DESTINO,ITEM_SA,FOB_US_DUSLEG,FOBUS_AJUSTADO_IVV,PESO_BRUTO_KG,CANTIDAD_MERCANCIA,COD_UNIDAD_MEDIDA
2025,1,200,3,4,992,508,71081219,"89576442,27","88559454,54","5386,35","4269,75",6
2025,1,200,5,4,992,223,28012000,"9478,13","9478,13",104,100,6
2025,1,200,13,4,992,225,71081211,"36600224,64","36600224,71",442,"427,191",6
2025,1,200,13,4,992,225,71081220,"2003234,3","2005498,24","37,78","35,385",6
2025,1,200,13,4,992,225,71081219,"1798340,51","1777020,45","113,26","99,21",6
2025,1,200,13,4,992,202,71069200,"19024,11","19024,11","140,26",120,6
2025,1,200,13,4,992,218,71069200,"7077,6","7077,6",73,70,6
2025,1,200,13,4,992,211,71069200,"15295,88","15295,88",43,40,6
2025,1,200,13,4,992,341,71081219,"3422487,51",3701742,61,"52,5567",6
2025,1,200,13,4,992,508,71081219,"4873011,5","5161466,34",881,"807,1214",6
2025,1,200,13,4,992,508,71081219,"616822,12","608007,88",43,"19,1496",6
2025,1,200,13,4,992,522,71081219,81180,81180,"2,05","1,0494",6
2025,1,200,20,4,992,220,26020000,"20538,83","20538,83","517,26","395,08",6
2025,1,201,0,4,992,336,28012000,210,210,4,"0,3",6
2025,1,201,0,4,992,331,28369130,"5,2","5,2","3,2","2,6",6
2025,1,201,0,4,992,563,28369140,4,4,"2,06",2,6
2025,1,201,0,11,992,225,26139010,1,1,1,1,6
2025,1,201,0,11,992,333,28252011,"9,76","9,76",2,1,6
2025,1,201,0,11,992,331,28012000,50,50,"2,5",1,6
2025,1,201,0,11,992,330,28012000,150,150,7,3,6
2025,1,201,0,11,992,517,28342100,15,15,"12,2",10,6
2025,1,200,20,1,908,551,25280010,"18771,12","18771,12",43200,43152,6
2025,2,200,1,1,901,220,28012000,"1556196,13","1556196,13",22607,21600,6
2025,2,200,5,7,957,219,28012000,37458,37458,486,450,6
2025,2,200,5,7,958,221,28012000,6767,6767,81,75,6
2025,2,200,5,7,958,221,28012000,24639,24639,324,300,6
2025,2,200,15,1,901,216,74031100,"902368,2","891174,6",100940,100860,6
2025,2,200,15,1,901,336,74031100,"2666057,85","2682000,53",303221,302981,6
2025,2,200,1,1,204,226,26030000,"37379819,11","37135959,46",24009500,24009500,6
2025,2,200,1,1,204,336,26030000,"52816274,02","51516151,44",22999000,22999000,6
2025,2,200,1,1,204,336,26030000,"233003755,27","239704909,46",147011400,147011400,6
2025,2,200,1,1,204,331,26030000,"23741951,22","23354084,39",10450000,10450000,6
2025,2,200,1,1,902,225,28342100,17000,17000,20533,20000,6
2025,2,200,1,1,902,219,28342100,"229416,22","229416,22",306480,300000,6
