FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL,VALUE_USD
Barquito,port,-27.07,-70.84,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,1.17,kMT,14.66,10701720.858113999
Coquimbo,port,-29.96,-71.35,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,1.76,kMT,14.66,16098315.136991998
Angamos,port,-23.1,-70.42,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,0.73,kMT,14.66,6677142.0738659995
Caldera,port,-27.07,-70.82,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,0.73,kMT,14.66,6677142.0738659995
Coloso,port,-23.76,-70.45,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,2.66,kMT,7.59,24330408.104771998
Mejillones,port,-23.1,-70.45,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,1.52,kMT,7.59,13903090.345583998
Patache,port,-20.8,-70.22,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,1.14,kMT,7.59,10427317.759187998
Barquito,port,-27.07,-70.84,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,0.61,kMT,7.59,5579529.678161999
Coquimbo,port,-29.96,-71.35,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,0.91,kMT,7.59,8323560.667421999
Angamos,port,-23.1,-70.42,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,0.38,kMT,7.59,3475772.5863959994
Caldera,port,-27.07,-70.82,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,0.38,kMT,7.59,3475772.5863959994
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,3.9,kMT,15.59,35672402.860379994
Mejillones,port,-23.1,-70.45,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,2.34,kMT,15.59,21403441.716227997
Antofagasta (ATI),port,-23.65,-70.4,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,2.34,kMT,15.59,21403441.716227997
Iquique,port,-20.21,-70.15,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,2.34,kMT,15.59,21403441.716227997
San Antonio,port,-33.59,-71.62,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,1.56,kMT,15.59,14268961.144151999
Ventanas,port,-32.74,-71.49,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,1.56,kMT,15.59,14268961.144151999
Barquito,port,-27.07,-70.84,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,0.78,kMT,15.59,7134480.572075999
Coquimbo,port,-29.96,-71.35,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,0.78,kMT,15.59,7134480.572075999
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.02,kMT,0.1,182935.39928399998
Mejillones,port,-23.1,-70.45,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1,91467.69964199999
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1,91467.69964199999
Iquique,port,-20.21,-70.15,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1,91467.69964199999
San Antonio,port,-33.59,-71.62,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1,91467.69964199999
Ventanas,port,-32.74,-71.49,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1,91467.69964199999
Barquito,port,-27.07,-70.84,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.0,kMT,0.1,0.0
Coquimbo,port,-29.96,-71.35,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.0,kMT,0.1,0.0
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,9.82,kMT,39.26,89821281.04844399
Mejillones,port,-23.1,-70.45,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,5.89,kMT,39.26,53874475.089137994
Antofagasta (ATI),port,-23.65,-70.4,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,5.89,kMT,39.26,53874475.089137994
Iquique,port,-20.21,-70.15,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,5.89,kMT,39.26,53874475.089137994
San Antonio,port,-33.59,-71.62,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,3.93,kMT,39.26,35946805.959305994
Ventanas,port,-32.74,-71.49,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,3.93,kMT,39.26,35946805.959305994
Barquito,port,-27.07,-70.84,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,1.96,kMT,39.26,17927669.129832
Coquimbo,port,-29.96,-71.35,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,1.96,kMT,39.26,17927669.129832
Angamos,port,-23.1,-70.42,France,country,48.86,2.35,port_to_country,cathode,Copper,,22.38,kMT,89.52,204704711.79879597
Mejillones,port,-23.1,-70.45,France,country,48.86,2.35,port_to_country,cathode,Copper,,13.43,kMT,89.52,122841120.61920598
Antofagasta (ATI),port,-23.65,-70.4,France,country,48.86,2.35,port_to_country,cathode,Copper,,13.43,kMT,89.52,122841120.61920598
