MINE_NAME,MINE_IDX,MINE_TYPE,MINE_STATUS,MINE_LAT,MINE_LON,MINE_REGION,MINE_OPERATOR,PLANT_NAME,PLANT_IDX,PLANT_TYPE,PLANT_STATUS,PLANT_LAT,PLANT_LON,PLANT_OPERATOR,PLANT_OWNER,PLANT_CAPACITY,PLANT_CAPACITY_UNITS,SHARED_COMMODITIES,DISTANCE_KM,PRODUCT_FORM
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Quebrada Blanca SX-EW plant,440.0,SX-EW Plant,Active,-21.0027,-68.7964,Compañía Minera Quebrada Blanca ,"Teck Cominco Ltd., 76.5%; Inversiones Mineras S.A., 13.5%; Empresa Nacional de Minería (ENAMI) (Government, 100%), 10%",100,tmt,Copper,104.0,cathode_sxew
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Plant near Tocopilla,430.0,Processing Plant,Active,-21.9459,-69.8715,Minera Capacho Viejo Ltda. ,Minera Capacho Viejo Ltda. ,"5,000",mt,Copper,104.2,concentrate
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Spence SX-EW plant,444.0,SX-EW Plant,Active,-22.8015,-69.2818,Minera Spence S.A. ,"BHP Billiton plc, 100%",200,tmt,Copper,105.5,cathode_sxew
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Collahuasi SX-EW plant,295.0,SX-EW Plant,Active,-20.9779,-68.6315,Compañía Minera Doña Inés de Collahuasi SCM ,"Anglo American plc, 44%; Glencore plc, 44%; companies led by Mitsui & Co. Ltd., 12%",400,tmt,Copper,109.2,cathode_sxew
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Centinela oxide and sulfide plant,279.0,Processing Plant,Active,-22.9275,-69.0965,Antofagasta plc,"Antofagasta plc, 70%, and Marubeni Corp., 30%",300,tmt,Copper,112.9,concentrate
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,El Tesoro SX-EW plant,316.0,SX-EW Plant,Active,-22.9277,-69.0976,Minera El Tesoro S.A. ,"Antofagasta plc, 70%, and Marubeni Corp., 30%",110,tmt,Copper,112.9,cathode_sxew
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Antucoya SX-EW plant,271.0,SX-EW Plant,Active,-22.6298,-69.8832,Antofagasta plc,"Antofagasta plc, 70%, Marubeni Corp., 30%",,,Copper,130.4,cathode_sxew
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Mantos de la Luna SX-EW plant,350.0,SX-EW Plant,Active,-22.3851,-70.1782,Compania Mantos de la Luna,"Izquierdo Menendez Group, 100%",,,Copper,144.5,cathode_sxew
Búfalo,18.0,Prospect/Project,Prospect/Project,-23.635999999999967,-69.29399999999998,Antofagasta,,Lomas Bayas SX-EW plant,341.0,SX-EW Plant,Active,-23.4318,-69.5017,Compañía Minera Xstrata Lomas Bayas ,"Glencore plc, 100%",75,tmt,Copper,31.0,cathode_sxew
Búfalo,18.0,Prospect/Project,Prospect/Project,-23.635999999999967,-69.29399999999998,Antofagasta,,Gabriela Mistral SX-EW plant,325.0,SX-EW Plant,Active,-23.4173,-68.7838,Minera Gaby S.A. ,"Corporación Nacional del Cobre (CODELCO) (Government, 100%), 100%",170,tmt,Copper,57.4,cathode_sxew
