FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Mantos de Punitaqui,mine,-30.860999999999933,-71.22699999999998,Las Ventanas refinery and smelter,smelter,-32.7618,-71.4812,mine_to_smelter,gold_refined,Gold,212.7
Mantoverde,mine,-26.55899999999997,-70.31499999999994,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,77.9
Maricunga,mine,-27.549999999999955,-69.29999999999995,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,93.5
Mirador,mine,-22.950999999999965,-69.02399999999994,Chuquicamata SX-EW plant (oxide) and smelter,smelter,-22.3137,-68.8895,mine_to_smelter,gold_refined,Gold,72.2
Pampa Escondida,mine,-24.24599999999998,-69.03399999999993,Altonorte smelter,smelter,-23.8247,-70.3178,mine_to_smelter,gold_refined,Gold,138.5
Pantanillo,mine,-27.482999999999947,-69.07499999999999,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,116.1
Pascua Lama,mine,-29.32099999999997,-70.02699999999999,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,195.5
Pascua Lama,mine,-29.32099999999997,-70.02699999999999,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,195.5
Penacho Blanco,mine,-23.146999999999935,-69.16299999999995,Chuquicamata SX-EW plant (oxide) and smelter,smelter,-22.3137,-68.8895,mine_to_smelter,gold_refined,Gold,96.8
Polo Sur,mine,-23.299999999999955,-69.23299999999995,Chuquicamata SX-EW plant (oxide) and smelter,smelter,-22.3137,-68.8895,mine_to_smelter,gold_refined,Gold,115.2
Pullalli,mine,-32.422999999999945,-71.28899999999999,Las Ventanas refinery and smelter,smelter,-32.7618,-71.4812,mine_to_smelter,gold_refined,Gold,41.8
Redhill,mine,-53.34799999999995,-72.42799999999994,Gregorio refineries,smelter,-52.6225,-70.2015,mine_to_smelter,gold_refined,Gold,169.5
Relincho,mine,-28.52099999999996,-70.30999999999995,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,105.5
Salares Norte,mine,-26.011999999999944,-68.89027999999996,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,76.7
Salares Norte,mine,-26.011999999999944,-68.89027999999996,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,silver_refined,Silver,76.7
Santo Domingo,mine,-26.42599999999993,-70.01599999999996,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,44.7
Sierra Gorda,mine,-22.84699999999998,-69.33899999999994,Chuquicamata SX-EW plant (oxide) and smelter,smelter,-22.3137,-68.8895,mine_to_smelter,gold_refined,Gold,75.1
Talcuna,mine,-29.888999999999953,-70.88199999999995,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,264.8
Valeriano,mine,-29.113999999999976,-69.87099999999998,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,175.2
Valeriano,mine,-29.113999999999976,-69.87099999999998,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,175.2
Volcán,mine,-27.37899999999996,-69.16399999999999,Hernán Videla Lira smelter,smelter,-27.4198,-70.2577,mine_to_smelter,gold_refined,Gold,108.1
El Teniente plant,mo_plant,-34.0886,-70.4555,San Antonio,port,-33.59,-71.62,mo_to_port,mo_concentrate,Molybdenum,121.0
Los Pelambres plant,mo_plant,-31.8134,-70.5823,San Antonio,port,-33.59,-71.62,mo_to_port,mo_concentrate,Molybdenum,220.1
Molybdenum plant,mo_plant,-20.9761,-68.6272,Angamos,port,-23.1,-70.42,mo_to_port,mo_concentrate,Molybdenum,299.9
Tortolas molybdenum flotation plant,mo_plant,-33.1409,-70.7086,San Antonio,port,-33.59,-71.62,mo_to_port,mo_concentrate,Molybdenum,98.3
El Teniente plant,mo_plant,-34.0886,-70.4555,Nos plant,re_plant,-33.6065,-70.7441,mo_to_re_plant,perrhenate,Rhenium,59.9
Los Pelambres plant,mo_plant,-31.8134,-70.5823,Nos plant,re_plant,-33.6065,-70.7441,mo_to_re_plant,perrhenate,Rhenium,200.0
Molybdenum plant,mo_plant,-20.9761,-68.6272,Nos plant,re_plant,-33.6065,-70.7441,mo_to_re_plant,perrhenate,Rhenium,1419.8
Tortolas molybdenum flotation plant,mo_plant,-33.1409,-70.7086,Nos plant,re_plant,-33.6065,-70.7441,mo_to_re_plant,perrhenate,Rhenium,51.9
Chemetall Foote plant at La Negra,plant,-23.7593,-70.3112,Angamos,port,-23.1,-70.42,nitrate_to_port,nitrate,Nitrate,74.1
Coya Sur plant,plant,-22.3962,-69.6207,Tocopilla,port,-22.09,-70.2,nitrate_to_port,nitrate,Nitrate,68.7
Dual-use plant at Salar del Carmen,plant,-23.6351,-70.2595,Angamos,port,-23.1,-70.42,nitrate_to_port,nitrate,Nitrate,61.7
Maria Elena plant,plant,-22.3367,-69.6595,Tocopilla,port,-22.09,-70.2,nitrate_to_port,nitrate,Nitrate,62.0
Plant near Iquique,plant,-20.223,-69.7966,Iquique,port,-20.21,-70.15,nitrate_to_port,nitrate,Nitrate,36.9
Plant near Tocopilla,plant,-21.9459,-69.8715,Tocopilla,port,-22.09,-70.2,nitrate_to_port,nitrate,Nitrate,37.5
Three KCl plants at Salar del Carmen,plant,-23.6351,-70.2595,Angamos,port,-23.1,-70.42,nitrate_to_port,nitrate,Nitrate,61.7
Angamos,port,-23.1,-70.42,Argentina,country,-34.6,-58.38,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Brazil,country,-23.55,-46.63,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Colombia,country,4.71,-74.07,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,France,country,48.86,2.35,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Greece,country,37.98,23.73,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,India,country,19.08,72.88,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Indonesia,country,-6.21,106.85,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Italy,country,45.46,9.19,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Japan,country,35.68,139.69,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Malaysia,country,3.14,101.69,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Mexico,country,19.43,-99.13,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Netherlands,country,51.92,4.48,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Panama,country,8.98,-79.52,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Singapore,country,1.35,103.82,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Sweden,country,57.71,11.97,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Sweden,country,57.71,11.97,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Switzerland,country,47.38,8.54,port_to_country,concentrate,Copper,
Angamos,port,-23.1,-70.42,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,
